Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SILV,SilverCrest Metals Inc. Common Shares,$8.92,0.76,9.314%,1325100342.00,Canada,2018,2287476,Basic Materials,Precious Metals
SKE,Skeena Resources Limited Common Shares,$8.68,0.81,10.292%,925718441.00,,2021,404393,Basic Materials,Precious Metals
SLVM,Sylvamo Corporation Common Stock,$74.78,1.10,1.493%,3066079831.00,United States,2021,144852,Basic Materials,Paper
SOJE,Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15 2060,$21.58,0.09,0.419%,23620728604.00,United States,2020,32100,Basic Materials,Metal Mining
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),$9.67,-0.12,-1.226%,12610817337.00,Brazil,2018,2227020,Basic Materials,Paper
SVM,Silvercorp Metals Inc. Common Shares,$3.73,0.35,10.355%,807515902.00,Canada,,3469054,Basic Materials,Precious Metals
TGB,Taseko Mines Ltd. Common Stock,$2.05,0.09,4.592%,601370366.00,Canada,,3039579,Basic Materials,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.525,0.0121,2.359%,104839057.00,Canada,,317076,Basic Materials,Metal Mining
TMC,TMC the metals company Inc. Common Stock,$0.912,-0.0273,-2.906%,295481631.00,Canada,,810543,Basic Materials,Metal Mining
TMCWW,TMC the metals company Inc. Warrants,$0.08,0.0008,1.01%,25919441.00,Canada,,22324,Basic Materials,Metal Mining
TMQ,Trilogy Metals Inc. Common Stock,$0.50,-0.0022,-0.438%,80276404.00,Canada,,51334,Basic Materials,Precious Metals
TREX,Trex Company Inc. Common Stock,$64.12,0.58,0.913%,6970273412.00,United States,,625413,Basic Materials,Forest Products
TRX,TRX Gold Corporation Common Stock,$0.385,0.01,2.667%,107635769.00,Canada,,262043,Basic Materials,Precious Metals
UEC,Uranium Energy Corp. Common Stock,$5.25,0.07,1.351%,2146086343.00,Canada,,5578079,Basic Materials,Other Metals and Minerals
UFPI,UFP Industries Inc. Common Stock,$117.33,3.89,3.429%,7147572416.00,United States,1993,316513,Basic Materials,Forest Products
URG,Ur Energy Inc Common Shares (Canada),$1.18,0.01,0.855%,427483353.00,Canada,,2976420,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.2725,0.0155,6.031%,68402931.00,Canada,2017,959285,Basic Materials,Metal Mining
USAU,U.S. Gold Corp. Common Stock,$5.86,0.58,10.985%,62891143.00,United States,,215305,Basic Materials,Metal Mining
USGO,U.S. GoldMining Inc. Common stock,$5.39,-0.0598,-1.097%,66829042.00,United States,2023,14251,Basic Materials,Precious Metals
USGOW,U.S. GoldMining Inc. Warrant,$0.5999,0.00,0.00%,7437986.00,United States,2023,1,Basic Materials,Precious Metals
VALE,VALE S.A.  American Depositary Shares Each Representing one common share,$10.37,0.15,1.468%,44279900000.00,Brazil,,21332035,Basic Materials,Metal Mining
VGZ,Vista Gold Corp Common Stock,$0.66,0.0403,6.503%,80710848.00,United States,1986,676390,Basic Materials,Precious Metals
VOXR,Vox Royalty Corp. Common Stock,$2.71,0.10,3.831%,136522843.00,Canada,,177336,Basic Materials,Precious Metals
VZLA,Vizsla Silver Corp. Common Shares,$2.05,0.11,5.67%,486898928.00,Canada,2024,1092277,Basic Materials,Precious Metals
WFG,West Fraser Timber Co. Ltd Common stock,$88.26,1.50,1.729%,7093798208.00,,2021,91138,Basic Materials,Forest Products
WPM,Wheaton Precious Metals Corp Common Shares (Canada),$61.37,2.10,3.543%,27839817881.00,Canada,,1534965,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.12,-0.025,-2.183%,222005487.00,Canada,2011,123418,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.5153,0.0011,0.214%,29970157.00,United States,,236478,Basic Materials,Metal Mining
XPL,Solitario Resources Corp. Common Stock,$0.79,0.0786,11.049%,64336350.00,United States,,219634,Basic Materials,Precious Metals
