Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MUR,Murphy Oil Corporation Common Stock,$33.91,-0.13,-0.382%,5116592582.00,United States,,3016795,Energy,Oil & Gas Production
MVO,MV Oil Trust Units of Beneficial Interests,$9.12,0.09,0.997%,104880000.00,United States,2007,30130,Energy,Oil & Gas Production
MXC,Mexco Energy Corporation Common Stock,$11.49,-0.01,-0.087%,23961740.00,United States,2003,7889,Energy,Oil & Gas Production
NBR,Nabors Industries Ltd.,$65.09,-0.04,-0.061%,697107261.00,Bermuda,1951,427492,Energy,Oil & Gas Production
NC,NACCO Industries Inc. Common Stock,$25.49,-0.02,-0.078%,187433221.00,United States,,23021,Energy,Coal Mining
NCSM,NCS Multistage Holdings Inc. Common Stock,$20.83,0.42,2.058%,52130824.00,United States,2017,2337,Energy,Oilfield Services/Equipment
NE,Noble Corporation plc A Ordinary Shares,$34.40,-0.37,-1.064%,4916403693.00,United States,2022,2931760,Energy,Oil & Gas Production
NGS,Natural Gas Services Group Inc. Common Stock,$19.22,0.51,2.726%,239613338.00,United States,2002,57124,Energy,Oilfield Services/Equipment
NINE,Nine Energy Service Inc. Common Stock,$1.08,-0.01,-0.917%,44460776.00,United States,2018,417824,Energy,Oilfield Services/Equipment
NOA,North American Construction Group Ltd. Common Shares (no par),$18.11,0.11,0.611%,503952077.00,Canada,2006,34768,Energy,Oilfield Services/Equipment
NOG,Northern Oil and Gas Inc. Common Stock,$34.09,0.11,0.324%,3414879775.00,United States,2022,1079619,Energy,Oil & Gas Production
NPWR,NET Power Inc. Class A Common Stock,$7.08,-0.03,-0.422%,1524833130.00,United States,2021,484295,Energy,Industrial Machinery/Components
NRP,Natural Resource Partners LP Limited Partnership,$88.94,3.65,4.28%,1160589000.00,United States,2002,22263,Energy,Coal Mining
NRT,North European Oil Royality Trust Common Stock,$5.125,-0.005,-0.097%,47101774.00,United States,,38587,Energy,Oil & Gas Production
