Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share),$4.09,0.02,0.491%,4456061818.00,Brazil,,950720,Utilities,Oil/Gas Transmission
USAC,USA Compression Partners LP Common Units Representing Limited Partner Interests,$22.52,0.63,2.878%,2635006896.00,United States,2013,183579,Utilities,Natural Gas Distribution
UTL,UNITIL Corporation Common Stock,$59.12,0.97,1.668%,956205166.00,United States,1985,37738,Utilities,Power Generation
VIASP,Via Renewables Inc. 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,$21.39,-0.25,-1.155%,156646007.00,United States,,2520,Utilities,Power Generation
VIVK,Vivakor Inc. Common Stock,$1.66,-0.01,-0.599%,48597723.00,United States,,22320,Utilities,Environmental Services
VST,Vistra Corp. Common Stock,$80.47,0.41,0.512%,27646386099.00,United States,,3860486,Utilities,Electric Utilities: Central
VVPR,VivoPower International PLC Ordinary Shares,$2.04,0.01,0.493%,9057600.00,United Kingdom,,34597,Utilities,Power Generation
WAVE,Eco Wave Power Global AB (publ) American Depositary Shares,$3.77,0.08,2.168%,20923500.00,Israel,2021,7005,Utilities,Electric Utilities: Central
WCN,Waste Connections Inc. Common Shares,$185.99,0.60,0.324%,47992379932.00,Canada,,666883,Utilities,Environmental Services
WEC,WEC Energy Group Inc. Common Stock,$95.01,-0.20,-0.21%,30030703889.00,United States,,1607458,Utilities,Power Generation
WES,Western Midstream Partners LP Common Units Representing Limited Partner Interests,$38.86,0.56,1.462%,14785923161.00,United States,2012,624383,Utilities,Natural Gas Distribution
WM,Waste Management Inc. Common Stock,$207.86,0.22,0.106%,83417299940.00,United States,,1582980,Utilities,Environmental Services
WMB,Williams Companies Inc. (The) Common Stock,$45.09,0.51,1.144%,54961607402.00,United States,,5540775,Utilities,Natural Gas Distribution
WTRG,Essential Utilities Inc. Common Stock,$38.46,-0.56,-1.435%,10525428197.00,United States,,1263584,Utilities,Water Supply
XEL,Xcel Energy Inc. Common Stock,$63.89,0.04,0.063%,35618718509.00,United States,,4886474,Utilities,Power Generation
YORW,York Water Company (The) Common Stock,$38.31,0.24,0.63%,550212166.00,United States,,27094,Utilities,Water Supply
