Symbol,company,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),한국표준산업분류11차(세분류),한국표준산업분류11차(세세분류)
A034940,조아제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A043340,에쎈테크,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,"펌프 및 압축기 제조업; 탭, 밸브 및 유사장치 제조 포함","탭, 밸브 및 유사장치 제조업"
A091590,남화토건,건설업,종합 건설업,건물 건설업,건물 건설업,건물 건설업
A049800,우진플라임,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,기타 특수 목적용 기계 제조업,"고무, 화학섬유 및 플라스틱 성형기 제조업"
A047770,코데즈컴바인,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,봉제의복 제조업,봉제의복 제조업
A126640,화신정공,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차 차체용 신품 부품 제조업,자동차 차체용 신품 부품 제조업
A373200,엑스플러스,제조업,기타 제품 제조업,그 외 기타 제품 제조업,그 외 기타 제품 제조업,그 외 기타 제품 제조업
A419540,비스토스,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
A033200,모아텍,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,그 외 기타 전자부품 제조업
A139670,키네마스터,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,응용 소프트웨어 개발 및 공급업
A085910,네오티스,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차 신품 부품 제조업
A082660,코스나인,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,기타 화학제품 제조업,기타 화학제품 제조업
A019770,서연탑메탈,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,기타 특수 목적용 기계 제조업,주형 및 금형 제조업
A332290,누보,제조업,화학물질 및 화학제품 제조업; 의약품 제외,"비료, 농약 및 살균, 살충제 제조업","비료, 농약 및 살균, 살충제 제조업","비료, 농약 및 살균, 살충제 제조업"
