Symbol,company,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),한국표준산업분류11차(세분류),한국표준산업분류11차(세세분류)
A005930,삼성전자,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업
A000660,SK하이닉스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업"
A373220,LG에너지솔루션,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업
A207940,삼성바이오로직스,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업
A005380,현대차,제조업,자동차 및 트레일러 제조업,자동차용 엔진 및 자동차 제조업,자동차 제조업,내연기관 승용차 및 기타 여객용 자동차 제조업
A068270,셀트리온,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업
A000270,기아,제조업,자동차 및 트레일러 제조업,자동차용 엔진 및 자동차 제조업,자동차 제조업,내연기관 승용차 및 기타 여객용 자동차 제조업
A105560,KB금융,금융 및 보험업,금융업,기타 금융업,그 외 기타 금융업,지주회사
A055550,신한지주,금융 및 보험업,금융업,기타 금융업,그 외 기타 금융업,지주회사
A005490,POSCO홀딩스,제조업,1차 금속 제조업,1차 철강 제조업,"제철, 제강 및 합금철 제조업","제철, 제강 및 합금철 제조업"
A028260,삼성물산,도매 및 소매업,도매 및 상품 중개업,기타 전문 도매업,기타 전문 도매업,기타 전문 도매업
A035420,NAVER,정보통신업,정보서비스업,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
A006400,삼성SDI,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,운송장비용 이차전지 제조업
A051910,LG화학,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 유기 화학물질 제조업,석유화학계 기초 화학물질 제조업
A012330,현대모비스,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차 신품 부품 제조업,자동차 신품 부품 제조업
A329180,HD현대중공업,제조업,기타 운송장비 제조업,선박 및 보트 건조업,선박 및 보트 건조업,선박 및 보트 건조업
A086790,하나금융지주,금융 및 보험업,금융업,기타 금융업,그 외 기타 금융업,지주회사
A247540,에코프로비엠,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,운송장비용 이차전지 제조업
A032830,삼성생명,금융 및 보험업,보험업,보험업,생명 보험업,생명 보험업
A138040,메리츠금융지주,금융 및 보험업,금융업,기타 금융업,그 외 기타 금융업,지주회사
A003670,포스코퓨처엠,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업
A035720,카카오,정보통신업,정보서비스업,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
A000810,삼성화재,금융 및 보험업,보험업,보험업,손해 및 보증 보험업,손해 보험업
A196170,알테오젠,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
A066570,LG전자,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업
A259960,크래프톤,정보통신업,출판업,소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업
A012450,한화에어로스페이스,제조업,기타 운송장비 제조업,"항공기, 우주선 및 부품 제조업",항공기용 엔진 및 부품 제조업,항공기용 엔진 제조업
A009540,HD한국조선해양,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A011200,HMM,운수 및 창고업,수상 운송업,해상 운송업,외항 운송업,외항 화물 운송업
A033780,KT&G,제조업,담배 제조업,담배 제조업,담배 제조업,담배제품 제조업
A003550,LG,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A042700,한미반도체,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
A015760,한국전력,"전기, 가스, 증기 및 공기조절 공급업","전기, 가스, 증기 및 공기조절 공급업",전기업,송전 및 배전업,송전 및 배전업
A034020,두산에너빌리티,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,내연기관 및 터빈 제조업; 항공기용 및 차량용 제외,기타 기관 및 터빈 제조업
A086520,에코프로,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A028300,HLB,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,체외 진단 시약 제조업
A402340,SK스퀘어,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A017670,SK텔레콤,정보통신업,우편 및 통신업,전기 통신업,무선 및 위성 통신업,무선 및 위성 통신업
A316140,우리금융지주,금융 및 보험업,금융업,기타 금융업,그 외 기타 금융업,지주회사
A018260,삼성에스디에스,정보통신업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터시스템 통합 자문, 구축 및 관리업",컴퓨터시스템 통합 자문 및 구축 서비스업
A024110,기업은행,금융 및 보험업,금융업,은행 및 저축기관,일반은행,국내은행
A009150,삼성전기,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,인쇄회로기판 및 전자부품 실장기판 제조업,인쇄회로기판용 적층판 제조업
A010130,고려아연,제조업,1차 금속 제조업,1차 비철금속 제조업,"비철금속 제련, 정련 및 합금 제조업","연 및 아연 제련, 정련 및 합금 제조업"
A267260,HD현대일렉트릭,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
A323410,카카오뱅크,금융 및 보험업,금융업,은행 및 저축기관,일반은행,국내은행
A034730,SK,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A096770,SK이노베이션,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,석유 정제품 제조업,석유 정제품 제조업
A042660,한화오션,제조업,기타 운송장비 제조업,선박 및 보트 건조업,선박 및 수상 부유 구조물 건조업,강선 건조업
A030200,KT,정보통신업,우편 및 통신업,전기 통신업,전기 통신업,전기 통신업
A010140,삼성중공업,제조업,기타 운송장비 제조업,선박 및 보트 건조업,선박 및 수상 부유 구조물 건조업,강선 건조업
A047050,포스코인터내셔널,도매 및 소매업,도매 및 상품 중개업,상품 중개업,상품 중개업,상품 중개업
A326030,SK바이오팜,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,자연과학 연구개발업
A086280,현대글로비스,운수 및 창고업,창고 및 운송관련 서비스업,기타 운송관련 서비스업,그 외 기타 운송관련 서비스업,통관 대리 및 관련서비스업
A003490,대한항공,운수 및 창고업,항공 운송업,항공 여객 운송업,항공 여객 운송업,항공 여객 운송업
A000100,유한양행,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,의약품 제조업,의약품 제조업
A005830,DB손해보험,금융 및 보험업,보험업,보험업,손해 및 보증 보험업,손해 보험업
A010950,S-Oil,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,원유 정제처리업,원유 정제처리업
A090430,아모레퍼시픽,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업
A352820,하이브,정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업
A267250,HD현대,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A011070,LG이노텍,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,전자부품 제조업,전자부품 제조업
A064350,현대로템,제조업,기타 운송장비 제조업,철도장비 제조업,철도장비 제조업,기관차 및 기타 철도차량 제조업
A450080,에코프로머티,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업
A034220,LG디스플레이,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,표시장치 제조업,액정 표시장치 제조업
A047810,한국항공우주,제조업,기타 운송장비 제조업,"항공기, 우주선 및 부품 제조업","항공기, 우주선 및 보조장치 제조업","유인 항공기, 항공우주선 및 보조장치 제조업"
A010120,LS ELECTRIC,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",전기 공급 및 제어장치 제조업,"전기회로 개폐, 보호장치 제조업"
A097950,CJ제일제당,제조업,식료품 제조업,기타 식품 제조업,기타 식품 제조업,기타 식품 제조업
A161390,한국타이어앤테크놀로지,제조업,고무 및 플라스틱제품 제조업,고무제품 제조업,고무 타이어 및 튜브 제조업,고무 타이어 및 튜브 제조업
A051900,LG생활건강,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업","치약, 비누 및 기타 세제 제조업"
A028050,삼성E&A,"전문, 과학 및 기술 서비스업","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",엔지니어링 서비스업,기타 엔지니어링 서비스업
A443060,HD현대마린솔루션,"전문, 과학 및 기술 서비스업","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업"
A251270,넷마블,정보통신업,출판업,소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업
A009830,한화솔루션,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 유기 화학물질 제조업,석유화학계 기초 화학물질 제조업
A006800,미래에셋증권,금융 및 보험업,금융 및 보험 관련 서비스업,금융 지원 서비스업,증권 및 선물 중개업,증권 중개업
A029780,삼성카드,금융 및 보험업,금융업,기타 금융업,여신금융업,신용카드 및 할부금융업
A011790,SKC,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,기타 화학제품 제조업,기타 화학제품 제조업
A036460,한국가스공사,"전기, 가스, 증기 및 공기조절 공급업","전기, 가스, 증기 및 공기조절 공급업",연료용 가스 제조 및 배관공급업,연료용 가스 제조 및 배관공급업,연료용 가스 제조 및 배관공급업
A079550,LIG넥스원,제조업,금속가공제품 제조업; 기계 및 가구 제외,무기 및 총포탄 제조업,무기 및 총포탄 제조업,무기 및 총포탄 제조업
A302440,SK바이오사이언스,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업
A021240,코웨이,"협회 및 단체, 수리 및 기타 개인 서비스업",기타 개인 서비스업,그 외 기타 개인 서비스업,그 외 기타 개인 서비스업,그 외 기타 개인 서비스업
A454910,두산로보틱스,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,산업용 로봇 제조업,산업용 로봇 제조업
A005940,NH투자증권,금융 및 보험업,금융 및 보험 관련 서비스업,금융 지원 서비스업,증권 및 선물 중개업,증권 중개업
A307950,현대오토에버,정보통신업,출판업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
A348370,엔켐,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 유기 화학물질 제조업,기타 기초 유기 화학물질 제조업
A010620,HD현대미포,제조업,기타 운송장비 제조업,선박 및 보트 건조업,선박 및 수상 부유 구조물 건조업,강선 건조업
A180640,한진칼,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A078930,GS,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A032640,LG유플러스,정보통신업,우편 및 통신업,전기 통신업,무선 및 위성 통신업,무선 및 위성 통신업
A003230,삼양식품,제조업,식료품 제조업,기타 식품 제조업,기타 식품 제조업,기타 식품 제조업
A022100,포스코DX,"전문, 과학 및 기술 서비스업","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",엔지니어링 서비스업,기타 엔지니어링 서비스업
A241560,두산밥캣,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,건설 및 광업용 기계장비 제조업,건설 및 채광용 기계장비 제조업
A016360,삼성증권,금융 및 보험업,금융 및 보험 관련 서비스업,금융 지원 서비스업,증권 및 선물 중개업,증권 중개업
A036570,엔씨소프트,정보통신업,출판업,소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업
A071050,한국금융지주,금융 및 보험업,금융업,기타 금융업,그 외 기타 금융업,지주회사
A000250,삼천당제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A001040,CJ,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A006260,LS,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A005070,코스모신소재,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,기타 화학제품 제조업,기타 화학제품 제조업
A128940,한미약품,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A272210,한화시스템,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,그 외 기타 전자부품 제조업
A011780,금호석유,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 화학물질 제조업,기초 화학물질 제조업
A462870,시프트업,정보통신업,출판업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
A271560,오리온,제조업,식료품 제조업,기타 식품 제조업,기타 식품 제조업,기타 식품 제조업
A011170,롯데케미칼,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 유기 화학물질 제조업,석유화학계 기초 화학물질 제조업
A001570,금양,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 화학물질 제조업,기초 화학물질 제조업
A004020,현대제철,제조업,1차 금속 제조업,1차 철강 제조업,"제철, 제강 및 합금철 제조업","제철, 제강 및 합금철 제조업"
A145020,휴젤,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업
A000720,현대건설,건설업,종합 건설업,토목 건설업,토목시설물 건설업,도로 건설업
A039490,키움증권,금융 및 보험업,금융 및 보험 관련 서비스업,금융 지원 서비스업,증권 및 선물 중개업,증권 중개업
A066970,엘앤에프,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,운송장비용 이차전지 제조업
A058470,리노공업,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,그 외 기타 전자부품 제조업
A141080,리가켐바이오,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
A377300,카카오페이,금융 및 보험업,금융 및 보험 관련 서비스업,금융 지원 서비스업,기타 금융 지원 서비스업,그 외 기타 금융 지원 서비스업
A068760,셀트리온제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A214150,클래시스,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,의료용 기기 제조업,의료용 기기 제조업
A035250,강원랜드,"예술, 스포츠 및 여가관련 서비스업",스포츠 및 오락관련 서비스업,유원지 및 기타 오락관련 서비스업,사행시설 관리 및 운영업,기타 사행시설 관리 및 운영업
A001450,현대해상,금융 및 보험업,보험업,보험업,손해 및 보증 보험업,손해 보험업
A138930,BNK금융지주,금융 및 보험업,금융업,기타 금융업,그 외 기타 금융업,지주회사
A298040,효성중공업,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
A263750,펄어비스,정보통신업,출판업,소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업
A007660,이수페타시스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,인쇄회로기판 및 전자부품 실장기판 제조업,인쇄회로기판용 적층판 제조업
A112610,씨에스윈드,제조업,금속가공제품 제조업; 기계 및 가구 제외,"구조용 금속제품, 탱크 및 증기발생기 제조업",구조용 금속제품 제조업,육상 금속 골조 구조재 제조업
A175330,JB금융지주,금융 및 보험업,금융업,기타 금융업,그 외 기타 금융업,지주회사
A257720,실리콘투,도매 및 소매업,도매 및 상품 중개업,상품 종합 도매업,상품 종합 도매업,상품 종합 도매업
A002380,KCC,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"잉크, 페인트, 코팅제 및 유사제품 제조업",일반용 도료 및 관련제품 제조업
A052690,한전기술,"전문, 과학 및 기술 서비스업","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",엔지니어링 서비스업,기타 엔지니어링 서비스업
A277810,레인보우로보틱스,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,산업용 로봇 제조업,산업용 로봇 제조업
A081660,휠라홀딩스,도매 및 소매업,도매 및 상품 중개업,생활용품 도매업,생활용품 도매업,생활용품 도매업
A088350,한화생명,금융 및 보험업,보험업,보험업,생명 보험업,생명 보험업
A000150,두산,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A001440,대한전선,제조업,전기장비 제조업,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타 절연선 및 케이블 제조업
A004370,농심,제조업,식료품 제조업,기타 식품 제조업,기타 식품 제조업,기타 식품 제조업
A004990,롯데지주,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A403870,HPSP,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
A361610,SK아이이테크놀로지,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업
A000880,한화,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,그 외 기타 화학제품 제조업,화약 및 불꽃제품 제조업
A008930,한미사이언스,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A007070,GS리테일,도매 및 소매업,소매업; 자동차 제외,종합 소매업,음ㆍ식료품 위주 종합 소매업,체인화 편의점
A012750,에스원,"사업시설 관리, 사업 지원 및 임대 서비스업",사업지원 서비스업,"경비, 경호 및 탐정업",보안시스템 서비스업,보안시스템 서비스업
A039030,이오테크닉스,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
A018880,한온시스템,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,"냉각, 공기조화, 여과, 증류 및 가스발생기 제조업",가정용 및 산업용 공기 조화장치 제조업
A000120,CJ대한통운,운수 및 창고업,육상운송 및 파이프라인 운송업,도로 화물 운송업,도로 화물 운송업,도로 화물 운송업
A002790,아모레G,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업
A383220,F&F,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,남자용 겉옷 제조업
A028670,팬오션,운수 및 창고업,수상 운송업,해상 운송업,외항 운송업,외항 화물 운송업
A357780,솔브레인,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,기타 화학제품 제조업,기타 화학제품 제조업
A278470,에이피알,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업
A030000,제일기획,"전문, 과학 및 기술 서비스업",전문 서비스업,광고업,광고 대행업,광고 대행업
A214450,파마리서치,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,체외 진단 시약 제조업
A000990,DB하이텍,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,전자집적회로 제조업
A282330,BGF리테일,도매 및 소매업,소매업; 자동차 제외,종합 소매업,음ㆍ식료품 위주 종합 소매업,체인화 편의점
A009420,한올바이오파마,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A078600,대주전자재료,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,그 외 기타 전자부품 제조업
A237690,에스티팜,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,의약품 제조업,의약품 제조업
A008770,호텔신라,도매 및 소매업,소매업; 자동차 제외,기타 상품 전문 소매업,그 외 기타 상품 전문 소매업,그 외 기타 분류 안된 상품 전문 소매업
A051600,한전KPS,건설업,전문직별 공사업,전기 및 통신 공사업,전기 공사업,일반전기 공사업
A026960,동서,도매 및 소매업,도매 및 상품 중개업,음ㆍ식료품 및 담배 도매업,가공식품 도매업,기타 가공식품 도매업
A240810,원익IPS,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업
A111770,영원무역,도매 및 소매업,도매 및 상품 중개업,상품 종합 도매업,상품 종합 도매업,상품 종합 도매업
A089030,테크윙,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
A035900,JYP Ent.,정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,음악 및 기타 오디오물 출판업
A006280,녹십자,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A012510,더존비즈온,정보통신업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터시스템 통합 자문, 구축 및 관리업",컴퓨터시설 관리업
A005290,동진쎄미켐,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 무기 화학물질 제조업,기타 기초 무기 화학물질 제조업
A014680,한솔케미칼,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 무기 화학물질 제조업,기타 기초 무기 화학물질 제조업
A017800,현대엘리베이,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,"산업용 트럭, 승강기 및 물품취급장비 제조업",승강기 제조업
A020150,롯데에너지머티리얼즈,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,그 외 기타 전자부품 제조업
A139480,이마트,도매 및 소매업,소매업; 자동차 제외,종합 소매업,대형 종합 소매업,기타 대형 종합 소매업
A023530,롯데쇼핑,도매 및 소매업,소매업; 자동차 제외,종합 소매업,대형 종합 소매업,백화점
A007310,오뚜기,제조업,식료품 제조업,기타 식품 제조업,기타 식품 제조업,기타 식품 제조업
A204320,HL만도,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차용 기타 신품 부품 제조업,그 외 자동차용 신품 부품 제조업
A006360,GS건설,건설업,종합 건설업,건물 건설업,주거용 건물 건설업,단독 주택 건설업
A035760,CJ ENM,정보통신업,방송 및 영상·오디오물 제공 서비스업,텔레비전 방송업,텔레비전 방송업,텔레비전 방송업
A047040,대우건설,건설업,종합 건설업,건물 건설업,주거용 건물 건설업,아파트 건설업
A005850,에스엘,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차 엔진용 신품 부품 제조업,자동차 엔진용 신품 부품 제조업
A039200,오스코텍,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A137310,에스디바이오센서,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,방사선 장치 및 전기식 진단 기기 제조업,전기식 진단 및 요법 기기 제조업
A018670,SK가스,도매 및 소매업,도매 및 상품 중개업,기타 전문 도매업,"연료, 연료용 광물 및 관련제품 도매업",기체연료 및 관련제품 도매업
A000240,한국앤컴퍼니,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A185750,종근당,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A103140,풍산,제조업,1차 금속 제조업,1차 비철금속 제조업,1차 비철금속 제조업,1차 비철금속 제조업
A161890,한국콜마,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업
A041510,에스엠,정보통신업,영상ㆍ오디오 기록물 제작 및 배급업,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음업,음악 및 기타 오디오물 출판업
A225570,넥슨게임즈,정보통신업,출판업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
A000080,하이트진로,제조업,음료 제조업,알코올음료 제조업,증류주 및 합성주 제조업,소주 제조업
A178320,서진시스템,제조업,전기장비 제조업,기타 전기장비 제조업,기타 전기장비 제조업,기타 전기장비 제조업
A298380,에이비엘바이오,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업
A069620,대웅제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,의약품 제조업,의약품 제조업
A280360,롯데웰푸드,제조업,식료품 제조업,기타 식품 제조업,기타 식품 제조업,기타 식품 제조업
