종목명,Sector,Industry Group,Industry,10차표준(세분류),10차표준(세세분류),주요상품
우진아이엔에스,IT,디스플레이,디스플레이 및 관련 부품,건물설비 설치 공사업,건물설비 설치 공사업,반도체/디스플레이 코팅덕트
성도이엔지,IT,반도체,반도체 및 관련 장비,"건축기술, 엔지니어링 및 관련 기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업","반도체크린룸 시공, 반도체장비제조"
한양이엔지,IT,반도체,반도체 및 관련 장비,"건축기술, 엔지니어링 및 관련 기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",반도체배관설비
NHN,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,한게임
액토즈소프트,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,온라인 게임 및 모바일 게임
애닉,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,
스코넥,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,"XR 교육/훈련 시스템, VR 게임 콘텐츠 등"
한빛소프트,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,"게임(스타크래프트 등), 교육, 솔루션"
위메이드맥스,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,실크로드 온라인
더블유게임즈,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,모바일게임
펄어비스,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,온라인게임 개발 서비스(검은사막)
모비릭스,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,모바일 게임 개발 및 퍼블리싱
카카오게임즈,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,"모바일, PC게임 퍼블리싱"
미투온,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,소셜 카지노 게임
위메이드,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,"미르의전설2, 미르4"
위메이드플레이,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,모바일게임
엠게임,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,"온라인 게임 개발 및 퍼블리싱(열혈강호온라인,홀릭2,영웅)"
컴투스,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,모바일게임
네오위즈,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,"피망,스페셜포스"
크래프톤,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,등 게임 소프트웨어
웹젠,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,3D 온라인게임 '뮤(MU)'
고스트스튜디오,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,모바일 게임 소프트웨어 개발 및 공급업,"캐주얼게임, 소셜카지노게임"
데브시스터즈,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,모바일 게임 소프트웨어 개발 및 공급업,모바일 게임
엔씨소프트,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,"인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급"
조이시티,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,온라인게임(프리스타일농구)
티쓰리,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,온라인 및 모바일 게임 등
드래곤플라이,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,온라인게임
넷마블,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업,온라인·모바일 게임 소프트웨어 개발 및 공급
골프존,IT,소프트웨어,"인터넷 서비스, IT 서비스, 일반 소프트웨어, 게임 소프트웨어",게임 소프트웨어 개발 및 공급업,기타 게임 소프트웨어 개발 및 공급업,골프시뮬레이터
솔브레인홀딩스,IT,디스플레이,디스플레이 및 관련 부품,경영 컨설팅 및 공공 관계 서비스업,경영 컨설팅업,"반도체,디스플레이,2차전지 공정용 화학제품"
티씨케이,IT,반도체,반도체 및 관련 장비,그 외 기타 비금속 광물제품 제조업,그 외 기타 분류 안된 비금속 광물제품 제조업,반도체 제조공정용 고순도 흑연제품
네패스아크,IT,반도체,반도체 및 관련 장비,"그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",반도체 테스트 서비스
아이텍,IT,반도체,반도체 및 관련 장비,"그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",비메모리 반도체 테스트
두산테스나,IT,반도체,반도체 및 관련 장비,"그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",반도체 테스트
큐알티,IT,반도체,반도체 및 관련 장비,"그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 분류 안된 전문, 과학 및 기술 서비스업",반도체 신뢰성 검사 및 종합분석
헥토이노베이션,IT,하드웨어,통신서비스,그 외 기타 정보 서비스업,데이터베이스 및 온라인정보 제공업,휴대폰부가서비스
리튬포어스,IT,하드웨어,IT 하드웨어,그 외 기타 제품 제조업,그 외 기타 제품 제조업,"휴대폰액세서리의 제조, 판매"
에이디칩스,IT,반도체,반도체 및 관련 장비,그 외 기타 제품 제조업,그 외 기타 제품 제조업,"업소용냉동냉장, 반도체칩"
덕산테코피아,IT,반도체,반도체 및 관련 장비,그 외 기타 화학제품 제조업,그 외 기타 화학제품 제조업,"OLED 소재, 반도체 소재"
와이씨켐,IT,디스플레이,디스플레이 및 관련 부품,그 외 기타 화학제품 제조업,감광재료 및 관련 화학제품 제조업,반도체 및 디스플레이용 화학소재
이엔에프테크놀로지,IT,반도체,반도체 및 관련 장비,그 외 기타 화학제품 제조업,그 외 기타 분류 안된 화학제품 제조업,LCD/반도체용 케미칼
나노신소재,IT,반도체,반도체 및 관련 장비,그 외 기타 화학제품 제조업,그 외 기타 분류 안된 화학제품 제조업,"인듐계 산화물 TCO Target, 반도체 CMP Slurry 등"
디엔에프,IT,반도체,반도체 및 관련 장비,그 외 기타 화학제품 제조업,그 외 기타 분류 안된 화학제품 제조업,반도체배선박막재료(알루미늄전구체)
포인트엔지니어링,IT,디스플레이,디스플레이 및 관련 부품,"금속 열처리, 도금 및 기타 금속가공업",도장 및 기타 피막처리업,디스플레이 및 반도체 장비 부품
ISC,IT,반도체,반도체 및 관련 장비,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,반도체테스트소켓
KX하이텍,IT,반도체,반도체 및 관련 장비,기계장비 조립용 플라스틱제품 제조업,기계장비 조립용 플라스틱제품 제조업,TRAY(반도체Packing재료)
딜리,IT,하드웨어,IT 하드웨어,기억장치 및 주변기기 제조업,컴퓨터 프린터 제조업,디지털 UV 프린터
동진쎄미켐,IT,반도체,반도체 및 관련 장비,기초 무기 화학물질 제조업,기타 기초 무기 화학물질 제조업,"반도체,LCD용재료(감광제,봉지제),발포제"
퓨릿,IT,디스플레이,디스플레이 및 관련 부품,기초 유기 화학물질 제조업,기타 기초 유기 화학물질 제조업,"반도체용 케미컬, 디스플레이용 케미컬, 산업용 케미컬"
엘티씨,IT,반도체,반도체 및 관련 장비,기초 유기 화학물질 제조업,기타 기초 유기 화학물질 제조업,FPD(LCD/OLED) 및 반도체용 박리액
KPX케미칼,IT,반도체,반도체 및 관련 장비,기초 유기 화학물질 제조업,기타 기초 유기 화학물질 제조업,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매"
램테크놀러지,IT,반도체,반도체 및 관련 장비,기초 유기 화학물질 제조업,기타 기초 유기 화학물질 제조업,"반도체 식각액, 박리액, 세정액 등"
와이엠티,IT,디스플레이,디스플레이 및 관련 부품,기초 화학물질 제조업,기초 화학물질 제조업,"PCB, 반도체 및 디스플레이 제조용 화학소재 등"
천보,IT,디스플레이,디스플레이 및 관련 부품,기초 화학물질 제조업,기초 화학물질 제조업,"디스플레이 소재, 반도체 공정 소재, 2차전지 소재, 의약품 소재, 정밀화학 소재"
효성,IT,하드웨어,IT 하드웨어,기타 금융업,기타 금융업,"스판덱스,합성원사,나일론,폴리에스터,타이어코드지,PET병,수지제품,중전기제품(변압기,차단기),사무용기계,컴퓨터 제조/건축공사"
유니퀘스트,IT,반도체,반도체 및 관련 장비,기타 기계 및 장비 도매업,수송용 운송장비 도매업,"반도체직접회로 도매,무역,제조"
매커스,IT,반도체,반도체 및 관련 장비,기타 기계 및 장비 도매업,수송용 운송장비 도매업,자일링스(Xilinx)비메모리반도체(PLDchip)유통
홈캐스트,IT,하드웨어,IT 하드웨어,기타 전문 도매업,기타 전문 도매업,디지털 셋톱박스
미래반도체,IT,반도체,반도체 및 관련 장비,기타 전문 도매업,기타 전문 도매업,반도체
이트론,IT,하드웨어,IT 하드웨어,기타 전문 도매업,기타 전문 도매업,컴퓨터 및 주변장치 제조
감성코퍼레이션,IT,하드웨어,IT 하드웨어,기타 전문 도매업,기타 전문 도매업,"의류, 의류디자인, 휴대폰 주변기기"
링크드,IT,하드웨어,IT 하드웨어,기타 전자부품 제조업,그 외 기타 전자부품 제조업,휴대폰용 진동모터
성우테크론,IT,반도체,반도체 및 관련 장비,기타 전자부품 제조업,그 외 기타 전자부품 제조업,"리드프레임,반도체검사장비"
리노공업,IT,반도체,반도체 및 관련 장비,기타 전자부품 제조업,그 외 기타 전자부품 제조업,"리노핀, 반도체 소켓 등"
이녹스첨단소재,IT,디스플레이,디스플레이 및 관련 부품,기타 전자부품 제조업,기타 전자부품 제조업,"FPCB소재, 반도체 및 디스플레이 소재"
KH바텍,IT,하드웨어,IT 하드웨어,기타 전자부품 제조업,그 외 기타 전자부품 제조업,"휴대폰부품(SHIELD, BRACKET)"
자화전자,IT,반도체,반도체 및 관련 장비,기타 전자부품 제조업,전자저항기 및 전자카드 제조업,"Bonded magenet,플라스틱자성제품,티탄산 바륨계 반도체소자,휴대전화용 Vibration Motor,전자관,전자부품 제조"
에프에스티,IT,반도체,반도체 및 관련 장비,기타 전자부품 제조업,그 외 기타 전자부품 제조업,"펠리클(반도체부품), 칠러장비, 반도체유통"
인포뱅크,IT,하드웨어,통신서비스,기타 정보 서비스업,기타 정보 서비스업,"모바일메시징서비스,휴대폰단말기용S/W개발용역"
로지시스,IT,하드웨어,IT 하드웨어,기타 정보기술 및 컴퓨터운영 관련 서비스업,기타 정보기술 및 컴퓨터운영 관련 서비스업,"전산장비 판매 및 유지보수, VAN기기 대행관리"
에스에프에이,IT,디스플레이,디스플레이 및 관련 부품,기타 특수 목적용 기계 제조업,그 외 기타 특수목적용 기계 제조업,"디스플레이, 2차전지, 반도체 제조설비 및 공장자동화기기"
톱텍,IT,디스플레이,디스플레이 및 관련 부품,기타 특수 목적용 기계 제조업,그 외 기타 특수목적용 기계 제조업,디스플레이 자동화설비
신화인터텍,IT,디스플레이,디스플레이 및 관련 부품,기타 플라스틱제품 제조업,플라스틱 접착처리 제품 제조업,디스플레이 BLU용 광학필름
솔브레인,IT,디스플레이,디스플레이 및 관련 부품,기타 화학제품 제조업,기타 화학제품 제조업,반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등
제이아이테크,IT,반도체,반도체 및 관련 장비,기타 화학제품 제조업,기타 화학제품 제조업,반도체 프리커서 및 쿼츠/블랭크/포토마스크용 케이스
레이크머티리얼즈,IT,반도체,반도체 및 관련 장비,기타 화학제품 제조업,기타 화학제품 제조업,"LED, 반도체 소재 및 석유화학촉매"
신성이엔지,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업","태양전지, 태양광모듈 제조 및 판매, 태양광 발전설치공사, 클린룸, 자동화장비"
서울바이오시스,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업","Visible LED, UV LED"
윈팩,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업",반도체 패키징 및 테스트
큐에스아이,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업",레이저다이오드(LaserDiode)
시그네틱스,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업",반도체 패키징
에이엘티,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업",반도체 테스트 및 패키징(반도체 후공정)
테크엘,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업","메모리 카드, 스마트 카드 등"
시지트로닉스,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",기타 반도체소자 제조업,특화반도체 소자
루멘스,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업",LED개발 및 제조
클라우드에어,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업",LED패키지
LB세미콘,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업","골드범핑, 솔더범핑 등"
쏘닉스,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",기타 반도체소자 제조업,RF필터 파운드리
LX세미콘,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업",Display Driver IC
알에프세미,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업","ECM Chip, TVS Diode, Driver IC, LED Module, LED"
우리이앤엘,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업",LED 패키지
서울반도체,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업","Display, Chip LED, Lamp"
HD현대에너지솔루션,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업","태양광 셀·모듈, PV시스템, ESS"
오디텍,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업","광반도체, 소자 및 모듈"
광전자,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업","트랜지스터,SMD TR,발광소자,리모콘모듈,발광다이오드(L.E.D),다이오드용웨이퍼팹(Fab) 제조,판매"
KEC,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업",반도체 제조
어보브반도체,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업","반도체,전자제품,마이크로컨트롤라"
에스엘에너지,IT,반도체,반도체 및 관련 장비,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업",
예스티,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,반도체 및 디스플레이 제조 장비
제이티,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,반도체장비(Burn-in Sorter 등)
영우디에스피,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,OLED/LCD 디스플레이 검사장비
제너셈,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,반도체 후공정 장비
유니셈,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,반도체장비(DryGasScrubber)
엔젯,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,"EHD 잉크젯 프린터, EHD 코터"
위지트,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,LCD 반도체
에프엔에스테크,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,"OLED, LCD 제조 공정 장비"
브이원텍,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,"LCD/OLED 압흔검사기, 2차전지 검사장비"
인베니아,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,"Dry Etcher, 진공합착기, LCD Panel 검사장비, OLED용 진공합착기"
젬백스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,"ChemicalAirFilter,GasScrubber"
에스티아이,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,"Chemical 중앙공급시스템(C.C.S.S), 세정·식각시스템"
필옵틱스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 및 반도체 제조공정용 제작
유니테스트,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)"
미래컴퍼니,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,EdgeGrinder
프로텍,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,"Dispenser, Tray Feeder, 공압실린더"
에스에이티이엔지,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,기업인수목적회사
디에스케이,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,"FPD(Flat Panel Display 평판디스플레이)용 Bonding System 및 In-line System, 카메라모듈장비, 이차전지장비, 메카트로닉스 사업군"
AP시스템,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,디스플레이 제조 장비
야스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,"OLED 증착기, OLED 증착원"
더코디,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,"반도체 및 평판디스플레이 제조용 장비(IRIS, LOZIX, HP/CP)"
참엔지니어링,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,FPD Laser Repair 장비 등 (FPD 장비의 개발과 제조 및 판매)
디이엔티,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,FPD공정검사장비
HB솔루션,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)"
티로보틱스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,"중대형 시스템, 중대형 로봇"
워트,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,초정밀 온습도 제어장비
코세스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,반도체SolderBall부착장비등
테스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,반도체장비(화학증착장비)
베셀,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,디스플레이 제조장비
GST,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,"GasScrubber,Chiller"
제우스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,LCD제조용장비
싸이맥스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,"웨이퍼 이송장치(Cluster Tool, EFEM, LPM 등)"
한솔아이원스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,"반도체 장비 부품 제조 및 세정, LCD 장비 부품 제조"
엘오티베큠,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,반도체제조용진공펌프
디아이티,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,평판디스플레이 검사장비
제이스텍,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,기계장비(디스플레이장비)
힘스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,"OLED Mask 인장기, OLED Mask 검사기 등"
브이엠,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,300mm Poly Etch System
피에스케이,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,"드라이스트립, 드라이클리닝"
HB테크놀러지,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,TFT-LCD검사장비
코미코,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,반도체 부품 세정 및 코팅
저스템,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,반도체 습도제어 System
씨앤지하이테크,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,"약액혼합공급장치, 화학약품재생장치"
엑시콘,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,반도체 검사장비
이오테크닉스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,레이저 마커 및 레이저 응용기기
넥스틴,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,반도체 전공정용 패턴결함 검사장비(AEGIS 등)
뉴파워프라즈마,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,플라즈마 세정기(Remote Plasma Cleaning Generator)
HPSP,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,고압 수소 어닐링 장비
지앤비에스 에코,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,"스크러버, 트랩, 백연제거장치 등"
케이피에스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,OLED 마스크 인장기
신도기연,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,"OLED용 후공정장비(라미네이터, 오토클레이브 등)"
이큐셀,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,
피에스케이홀딩스,IT,디스플레이,디스플레이 및 관련 부품,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,"Descum, Reflow"
