Symbol,Company,지배주주지분(천원),매출액(직전4분기)(천원),지배주주순이익(직전4분기)(천원),총자본(천원),매출액(직전4분기)(천원),당기순이익(직전4분기)(천원)
A010950,S-Oil,"9,029,496,000","35,957,548,000","849,734,000","9,019,189,000","35,481,735,000","846,984,000"
A000100,유한양행,"2,026,740,534","1,860,529,399","126,562,788","1,985,332,601","1,810,781,578","95,178,981"
A352820,하이브,"2,968,139,645","2,128,371,965","180,192,533","2,438,582,176","631,934,409","-133,566,084"
A005830,DB손해보험,"9,861,816,959","14,987,055,817","1,792,880,608","8,436,626,910","14,265,008,589","1,672,920,040"
A011070,LG이노텍,"4,848,085,216","20,563,005,886","620,385,378","3,779,536,009","20,217,140,773","338,608,755"
A326030,SK바이오팜,"304,291,076","408,081,901","-17,682,049","330,610,439","344,432,116","-8,509,068"
A010120,LS ELECTRIC,"1,692,858,503","4,293,335,622","233,858,803","1,595,306,269","3,089,427,482","227,971,638"
A034220,LG디스플레이,"7,938,259,000","22,172,738,000","-2,303,122,000","6,083,135,000","21,005,936,000","-1,189,392,000"
A267250,HD현대,"7,398,845,395","62,571,750,033","405,506,114","6,033,478,703","432,963,921","638,255,142"
A011790,SKC,"1,449,926,629","1,506,394,095","-221,290,445","1,801,483,117","15,104,261","-42,848,953"
A097950,CJ제일제당,"7,437,756,051","29,168,274,146","471,230,409","5,562,496,063","7,626,861,410","151,410,096"
A051900,LG생활건강,"5,476,715,052","6,849,817,207","157,916,639","4,438,188,593","3,528,141,021","100,282,290"
A022100,포스코DX,"463,959,472","1,519,431,703","91,941,225","457,089,465","1,486,279,089","89,684,898"
A251270,넷마블,"5,055,235,318","2,484,831,608","-218,380,452","4,769,375,390","798,008,255","205,272,845"
A079550,LIG넥스원,"1,070,090,058","2,525,308,564","175,825,813","1,070,090,058","2,519,099,693","175,825,813"
A161390,한국타이어앤테크놀로지,"9,888,104,905","8,962,802,941","984,229,095","5,633,878,696","2,955,901,818","987,399,490"
A241560,두산밥캣,"6,283,326,494","9,748,371,475","930,779,043","3,012,331,715","284,364,114","180,131,037"
A028050,삼성E&A,"3,695,986,900","10,476,202,502","738,402,648","2,431,842,453","6,218,660,653","367,123,396"
A003230,삼양식품,"623,771,459","1,333,101,514","170,446,031","567,877,767","1,176,169,157","155,420,111"
A047810,한국항공우주,"1,585,396,631","3,990,520,870","230,018,346","1,622,878,256","3,966,917,534","240,022,838"
A180640,한진칼,"2,840,328,544","283,112,990","440,386,659","2,614,881,054","131,002,815","244,217,577"
A021240,코웨이,"2,683,395,549","4,020,060,747","473,643,612","2,203,591,929","2,837,492,658","363,793,054"
A006800,미래에셋증권,"11,128,061,422","1,925,011,184","255,026,582","9,392,852,115","1,445,679,717","226,309,797"
A029780,삼성카드,"8,061,515,398","2,741,930,087","641,828,352","8,039,222,434","2,742,135,341","639,013,182"
A066970,엘앤에프,"984,343,720","3,916,844,697","-290,737,307","992,209,583","3,872,296,620","-285,344,969"
A009830,한화솔루션,"7,482,355,473","12,581,443,771","-783,415,375","7,629,042,240","6,811,078,505","-374,640,195"
A005070,코스모신소재,,,,"483,513,237","561,142,489","28,572,433"
A064350,현대로템,"1,725,896,143","3,650,714,667","198,378,872","1,663,399,733","3,583,456,917","201,230,383"
A000250,삼천당제약,"221,805,311","196,970,737","-9,599,289","185,292,079","134,546,015","-13,122,659"
A011170,롯데케미칼,"15,607,947,357","19,991,428,839","-273,543,990","12,829,977,048","13,404,939,526","43,134,670"
A307950,현대오토에버,"1,569,982,889","3,130,324,004","132,046,437","1,499,917,050","2,482,510,213","132,236,075"
A078930,GS,"13,655,292,000","25,457,584,000","1,267,532,000","6,372,766,000","798,361,000","673,541,000"
A005940,NH투자증권,"7,580,361,000","1,733,304,000","597,826,000","7,012,582,000","1,636,949,000","497,563,000"
A001570,금양,"182,864,475","152,072,792","-73,411,773","155,115,550","138,534,576","-71,163,182"
A032640,LG유플러스,"8,432,178,000","14,408,249,000","602,077,000","8,443,581,000","13,280,224,000","624,435,000"
