symbol,company,outstandingshares,treasuryshares,shares,지배주주지분,sales_ltm_c,지배주주순이익,equity,sales_ltm_s,ni,eps,bps,sps
A024110,기업은행,797425869,2,797425867,31830881000,18740749000,2730337000,29589034000,17155096000,2507943000,3145.048466,37105.68621,21513.09195
A267260,HD현대일렉트릭,36047135,54431,35992704,1114970188,2935185911,323909420,1074733333,2541431763,327095283,9087.821882,29859.75527,70609.63697
A316140,우리금융지주,742591501,53945,742537556,32223787000,21181917000,2416611000,24914073000,63521000,1135918000,1529.778515,33552.60996,85.5458414
A028300,HLB,130845364,260665,130584699,589031087,34236935,-136895827,1055781664,11676342,-48808299,-373.7673661,8085.033485,89.41585109
A034730,SK,72502703,17982352,54520351,21247543000,1.31762E+11,-741952000,16146488000,3732834000,-132174000,-2424.305742,296155.2467,68466.80059
A010130,고려아연,20703283,169904,20533379,9390248842,9552585701,494242829,8768956562,7289830158,580437623,28268.00319,427058.623,355023.4064
A096770,SK이노베이션,95735590,516196,95219394,22818947574,77000746259,314784622,18588153516,2411070808,1057349389,11104.34907,195213.9447,25321.21563
A323410,카카오뱅크,476926137,532334,476393803,0,0,0,6151527000,2178977000,364254000,764.6069233,12912.69316,4573.898708
A047050,포스코인터내셔널,175922788,5478301,170444487,6158123688,32586746650,669417726,5374519528,28130293712,643961425,3778.129973,31532.37528,165040.7954
A090430,아모레퍼시픽,58492759,85065,58407694,4910672726,3671718501,171429872,4872048841,2464447737,128029677,2192.000201,83414.50428,42193.88865
A030200,KT,252021685,6195910,245825775,16751635000,26587171000,1088777000,14999167000,18447271000,967503000,3935.726431,61015.43664,75042.05367
A010140,삼성중공업,880000000,25964429,854035571,3705485473,8752173471,-149750092,3630062658,8654299666,-226320159,-265.0008579,4250.481808,10133.41828
A042660,한화오션,306358899,16207,306342692,4358727711,8252103946,331329839,4085449248,8239548416,277417517,905.5790272,13336.206,26896.50718
A086280,현대글로비스,37500000,0,37500000,7884968128,25968798068,1084086293,6613305084,19731870964,979768735,26127.16627,176354.8022,526183.2257
A003490,대한항공,368220661,47,368220614,9648063895,16811207733,1202251438,9745073822,15201741273,906583300,2462.065581,26465.31305,41284.32981
A010950,S-Oil,112582792,0,112582792,9029496000,35957548000,849734000,9019189000,35481735000,846984000,7523.210119,80111.61244,315161.2637
A000100,유한양행,80209064,6385511,73823553,2026740534,1860529399,126562788,1985332601,1810781578,95178981,1289.276622,26892.94297,24528.50756
A352820,하이브,41652097,0,41652097,2968139645,2128371965,180192533,2438582176,631934409,-133566084,-3206.707312,58546.44428,15171.73095
A005830,DB손해보험,70800000,10756531,60043469,9861816959,14987055817,1792880608,8436626910,14265008589,1672920040,27861.81525,140508.6523,237578.0218
A011070,LG이노텍,23667107,2600,23664507,4848085216,20563005886,620385378,3779536009,20217140773,338608755,14308.7179,159713.279,854323.3448
A326030,SK바이오팜,78313250,0,78313250,304291076,408081901,-17682049,330610439,344432116,-8509068,-108.6542571,4221.641153,4398.133343
A010120,LS ELECTRIC,30000000,344954,29655046,1692858503,4293335622,233858803,1595306269,3089427482,227971638,7687.44847,53795.44072,104178.8127
A034220,LG디스플레이,500000000,0,500000000,7938259000,22172738000,-2303122000,6083135000,21005936000,-1189392000,-2378.784,12166.27,42011.872
A267250,HD현대,78993085,8324655,70668430,7398845395,62571750033,405506114,6033478703,432963921,638255142,9031.687021,85377.2852,6126.69506
A011790,SKC,37868298,3861992,34006306,1449926629,1506394095,-221290445,1801483117,15104261,-42848953,-1260.029625,52974.97226,444.1605919
A097950,CJ제일제당,15054186,357303,14696883,7437756051,29168274146,471230409,5562496063,7626861410,151410096,10302.19102,378481.3462,518944.1469
A051900,LG생활건강,15618197,958412,14659785,5476715052,6849817207,157916639,4438188593,3528141021,100282290,6840.638522,302745.8174,240667.9921
A022100,포스코DX,152034729,212210,151822519,463959472,1519431703,91941225,457089465,1486279089,89684898,590.7219732,3010.682921,9789.582591
A251270,넷마블,85953502,4018931,81934571,5055235318,2484831608,-218380452,4769375390,798008255,205272845,2505.326415,58209.56077,9739.579341
A079550,LIG넥스원,22000000,205640,21794360,1070090058,2525308564,175825813,1070090058,2519099693,175825813,8067.491452,49099.40269,115584.9354
A161390,한국타이어앤테크놀로지,123875069,1886316,121988753,9888104905,8962802941,984229095,5633878696,2955901818,987399490,8094.184634,46183.59117,24230.93724
A241560,두산밥캣,100249166,156957,100092209,6283326494,9748371475,930779043,3012331715,284364114,180131037,1799.65093,30095.56633,2841.021463
A028050,삼성E&A,196000000,0,196000000,3695986900,10476202502,738402648,2431842453,6218660653,367123396,1873.078551,12407.35945,31727.86047
A003230,삼양식품,7533015,0,7533015,623771459,1333101514,170446031,567877767,1176169157,155420111,20631.86002,75385.18999,156135.2469
A047810,한국항공우주,97475107,0,97475107,1585396631,3990520870,230018346,1622878256,3966917534,240022838,2462.40138,16649.15593,40696.72408
A180640,한진칼,66762279,440038,66322241,2840328544,283112990,440386659,2614881054,131002815,244217577,3682.287771,39426.91041,1975.247112
A021240,코웨이,73799619,1235874,72563745,2683395549,4020060747,473643612,2203591929,2837492658,363793054,5013.427215,30367.67092,39103.4484
A006800,미래에셋증권,595316408,146035874,449280534,11128061422,1925011184,255026582,9392852115,1445679717,226309797,503.7160079,20906.43018,3217.766201
A029780,삼성카드,115858891,9148196,106710695,8061515398,2741930087,641828352,8039222434,2742135341,639013182,5988.276826,75336.61395,25696.91202
A066970,엘앤에프,36294738,2738611,33556127,984343720,3916844697,-290737307,992209583,3872296620,-285344969,-8503.513203,29568.65621,115397.6029
A009830,한화솔루션,171892536,2544257,169348279,7482355473,12581443771,-783415375,7629042240,6811078505,-374640195,-2212.24684,45049.42291,40219.35472
A005070,코스모신소재,32510756,11760,32498996,0,0,0,483513237,561142489,28572433,879.1789445,14877.78998,17266.45614
A064350,현대로템,109142293,0,109142293,1725896143,3650714667,198378872,1663399733,3583456917,201230383,1843.743406,15240.65225,32832.89015
A000250,삼천당제약,23457472,364421,23093051,221805311,196970737,-9599289,185292079,134546015,-13122659,-568.251419,8023.715836,5826.255483
A011170,롯데케미칼,42775419,608272,42167147,15607947357,19991428839,-273543990,12829977048,13404939526,43134670,1022.944948,304264.7644,317900.0829
A307950,현대오토에버,27423982,866,27423116,1569982889,3130324004,132046437,1499917050,2482510213,132236075,4822.06599,54695.35446,90526.19013
A078930,GS,92915378,19883,92895495,13655292000,25457584000,1267532000,6372766000,798361000,673541000,7250.523828,68601.45371,8594.18425
A005940,NH투자증권,327492299,683671,326808628,7580361000,1733304000,597826000,7012582000,1636949000,497563000,1522.490404,21457.76274,5008.891626
A001570,금양,58050037,124626,57925411,182864475,152072792,-73411773,155115550,138534576,-71163182,-1228.531326,2677.849795,2391.602815
A032640,LG유플러스,436611361,6783009,429828352,8432178000,14408249000,602077000,8443581000,13280224000,624435000,1452.754331,19644.07643,30896.5752
A006260,LS,32200000,4852462,27347538,4689484000,24327313000,397594000,4363059000,486980000,297158000,10865.98728,159541.1989,17807.08742
A302440,SK바이오사이언스,76827750,0,76827750,1691536079,371179406,22867580,1694425449,371179406,25056562,326.1394743,22054.86233,4831.319491
A011780,금호석유,27672679,4606796,23065883,5853455104,6268761116,412769399,3258297135,4146531566,281373428,12198.68444,141260.4553,179769.0366
A036570,엔씨소프트,21954022,1997292,19956730,3261863678,1698973678,155618231,3288910743,1544402084,156738538,7853.918853,164802.0865,77387.53213
A071050,한국금융지주,55725992,2987479,52738513,8672312003,3446131283,746700586,6740847026,48488662,939682285,17817.76223,127816.4029,919.4165562
A016360,삼성증권,89300000,0,89300000,6692149357,1670566945,547926925,6380113546,1512023113,481965423,5397.149194,71445.84038,16931.94975
A068760,셀트리온제약,41596653,167064,41429589,0,0,0,374605023,395752465,16464597,397.4115456,9041.968121,9552.41108
A128940,한미약품,12810991,120463,12690528,1008753938,1533383315,158085604,661338509,1121267300,115189527,9076.811225,52112.76544,88354.66105
A348370,엔켐,20330547,0,20330547,177322769,357371042,-346145521,193924194,63679874,-322343052,-15855.10965,9538.562538,3132.2263
A010620,HD현대미포,39942149,57851,39884298,1974430124,4130398033,-136563393,1956191472,4091378648,-139624850,-3500.747337,49046.65671,102581.1874
A036460,한국가스공사,92313000,6486050,85826950,10140806939,39436700997,-488138065,7366844991,37639263473,-709473020,-8266.319845,85833.70364,438548.3053
A004020,현대제철,133445785,1900046,131545739,19080452338,25473492387,264239036,18863057917,20825072767,207678227,1578.752977,143395.4308,158310.508
A377300,카카오페이,134556020,0,134556020,1880147737,650245779,953000,2100731902,574670262,67133829,498.9284686,15612.32193,4270.862515
A272210,한화시스템,188919389,1926128,186993261,2151948182,2557944848,214658070,2235534358,2553372067,3304078,17.66950307,11955.16002,13654.88817
A000720,현대건설,111355765,0,111355765,8274298000,32165534000,560511000,6830346000,16519725000,424219000,3809.582737,61338.05466,148350.8734
A271560,오리온,39536132,7344,39528788,2956265588,2996941967,394391649,1244522474,1093449361,352277220,8911.915539,31483.95225,27662.10188
A039490,키움증권,25526706,1395345,24131361,5014510998,1124027911,390254596,4424375339,896730863,313007797,12970.99641,183345.454,37160.39319
A001040,CJ,29176998,2118542,27058456,5596851182,42011084853,254625049,2816712094,214422072,93344868,3449.7485,104097.2956,7924.401599
A000150,두산,16523835,3000866,13522969,1615381054,19241343789,-344617281,3004571194,996851041,-104510304,-7728.35492,222182.8057,73715.39793
