symbol,company,지배주주지분,sales_ltm_c,지배주주순이익,equity,sales_ltm_s,ni
A267250,HD현대,7398845395 ,62571750033 ,405506114 ,6033478703 ,432963921 ,638255142 
A011790,SKC,1449926629 ,1506394095 ,-221290445 ,1801483117 ,15104261 ,-42848953 
A097950,CJ제일제당,7437756051 ,29168274146 ,471230409 ,5562496063 ,7626861410 ,151410096 
A051900,LG생활건강,5476715052 ,6849817207 ,157916639 ,4438188593 ,3528141021 ,100282290 
A022100,포스코DX,463959472 ,1519431703 ,91941225 ,457089465 ,1486279089 ,89684898 
A251270,넷마블,5055235318 ,2484831608 ,-218380452 ,4769375390 ,798008255 ,205272845 
A079550,LIG넥스원,1070090058 ,2525308564 ,175825813 ,1070090058 ,2519099693 ,175825813 
A161390,한국타이어앤테크놀로지,9888104905 ,8962802941 ,984229095 ,5633878696 ,2955901818 ,987399490 
A241560,두산밥캣,6283326494 ,9748371475 ,930779043 ,3012331715 ,284364114 ,180131037 
A028050,삼성E&A,3695986900 ,10476202502 ,738402648 ,2431842453 ,6218660653 ,367123396 
A003230,삼양식품,623771459 ,1333101514 ,170446031 ,567877767 ,1176169157 ,155420111 
A047810,한국항공우주,1585396631 ,3990520870 ,230018346 ,1622878256 ,3966917534 ,240022838 
A180640,한진칼,2840328544 ,283112990 ,440386659 ,2614881054 ,131002815 ,244217577 
A021240,코웨이,2683395549 ,4020060747 ,473643612 ,2203591929 ,2837492658 ,363793054 
A006800,미래에셋증권,11128061422 ,1925011184 ,255026582 ,9392852115 ,1445679717 ,226309797 
A029780,삼성카드,8061515398 ,2741930087 ,641828352 ,8039222434 ,2742135341 ,639013182 
A066970,엘앤에프,984343720 ,3916844697 ,-290737307 ,992209583 ,3872296620 ,-285344969 
A009830,한화솔루션,7482355473 ,12581443771 ,-783415375 ,7629042240 ,6811078505 ,-374640195 
A005070,코스모신소재,0 ,0 ,0 ,483513237 ,561142489 ,28572433 
A064350,현대로템,1725896143 ,3650714667 ,198378872 ,1663399733 ,3583456917 ,201230383 
A000250,삼천당제약,221805311 ,196970737 ,-9599289 ,185292079 ,134546015 ,-13122659 
A011170,롯데케미칼,15607947357 ,19991428839 ,-273543990 ,12829977048 ,13404939526 ,43134670 
A307950,현대오토에버,1569982889 ,3130324004 ,132046437 ,1499917050 ,2482510213 ,132236075 
A078930,GS,13655292000 ,25457584000 ,1267532000 ,6372766000 ,798361000 ,673541000 
A005940,NH투자증권,7580361000 ,1733304000 ,597826000 ,7012582000 ,1636949000 ,497563000 
A001570,금양,182864475 ,152072792 ,-73411773 ,155115550 ,138534576 ,-71163182 
A032640,LG유플러스,8432178000 ,14408249000 ,602077000 ,8443581000 ,13280224000 ,624435000 
A006260,LS,4689484000 ,24327313000 ,397594000 ,4363059000 ,486980000 ,297158000 
A302440,SK바이오사이언스,1691536079 ,371179406 ,22867580 ,1694425449 ,371179406 ,25056562 
A011780,금호석유,5853455104 ,6268761116 ,412769399 ,3258297135 ,4146531566 ,281373428 
A036570,엔씨소프트,3261863678 ,1698973678 ,155618231 ,3288910743 ,1544402084 ,156738538 
A071050,한국금융지주,8672312003 ,3446131283 ,746700586 ,6740847026 ,48488662 ,939682285 
A016360,삼성증권,6692149357 ,1670566945 ,547926925 ,6380113546 ,1512023113 ,481965423 
A068760,셀트리온제약,0 ,0 ,0 ,374605023 ,395752465 ,16464597 
A128940,한미약품,1008753938 ,1533383315 ,158085604 ,661338509 ,1121267300 ,115189527 
A348370,엔켐,177322769 ,357371042 ,-346145521 ,193924194 ,63679874 ,-322343052 
A010620,HD현대미포,1974430124 ,4130398033 ,-136563393 ,1956191472 ,4091378648 ,-139624850 
A036460,한국가스공사,10140806939 ,39436700997 ,-488138065 ,7366844991 ,37639263473 ,-709473020 
A004020,현대제철,19080452338 ,25473492387 ,264239036 ,18863057917 ,20825072767 ,207678227 
A377300,카카오페이,1880147737 ,650245779 ,953000 ,2100731902 ,574670262 ,67133829 
A272210,한화시스템,2151948182 ,2557944848 ,214658070 ,2235534358 ,2553372067 ,3304078 
A000720,현대건설,8274298000 ,32165534000 ,560511000 ,6830346000 ,16519725000 ,424219000 
A271560,오리온,2956265588 ,2996941967 ,394391649 ,1244522474 ,1093449361 ,352277220 
A039490,키움증권,5014510998 ,1124027911 ,390254596 ,4424375339 ,896730863 ,313007797 
A001040,CJ,5596851182 ,42011084853 ,254625049 ,2816712094 ,214422072 ,93344868 
